sentence_id,labeled_tokens
367,Skilled/O in/O Infection Control/B-SKILL and/O Epidemiology/B-SKILL after/O 6/B-EXP years/I-EXP tracking/O infectious/O diseases/O ./O
368,Proficient/O in/O Telemedicine/B-SKILL platforms/O and/O Health Informatics/B-SKILL with/O 3/B-EXP years/I-EXP in/O digital/O health/O solutions/O ./O
369,Knowledgeable/O in/O Nursing Procedures/B-SKILL and/O Patient Safety/B-SKILL with/O 5/B-EXP years/I-EXP in/O clinical/O settings/O ./O
370,Experienced/O in/O Emergency Response/B-SKILL and/O CPR and First Aid/B-SKILL with/O over/O 7/B-EXP years/I-EXP in/O emergency/O care/O ./O
371,Proficient/O in/O Surgical Assistance/B-SKILL and/O Operating Room Protocols/B-SKILL with/O 6/B-EXP years/I-EXP in/O surgical/O settings/O ./O
372,Skilled/O in/O Medical Terminology/B-SKILL and/O Anatomy and Physiology/B-SKILL with/O 4/B-EXP years/I-EXP in/O medical/O education/O ./O
373,Competent/O in/O Pharmacy Management Systems/B-SKILL and/O Medication Administration/B-SKILL with/O 3/B-EXP years/I-EXP in/O pharmaceutical/O settings/O ./O
374,Expertise/O in/O Health Education/B-SKILL and/O Public Health Promotion/B-SKILL after/O 5/B-EXP years/I-EXP in/O community/O health/O programs/O ./O
375,Knowledgeable/O in/O Laboratory Testing/B-SKILL and/O Pathology Basics/B-SKILL with/O 8/B-EXP years/I-EXP in/O diagnostic/O labs/O ./O
376,Proficient/O in/O Mental Health Counseling/B-SKILL and/O Psychiatry/B-SKILL with/O 6/B-EXP years/I-EXP in/O mental/O health/O clinics/O ./O
377,Experienced/O in/O Rehabilitation Techniques/B-SKILL and/O Physical Therapy/B-SKILL with/O 4/B-EXP years/I-EXP in/O sports/O rehabilitation/O centers/O ./O
378,Skilled/O in/O Obstetrics and Gynecology/B-SKILL and/O Women's Health/B-SKILL after/O 3/B-EXP years/I-EXP in/O maternal/O care/O units/O ./O
379,Proficient/O in/O Wound Care/B-SKILL and/O Infection Control/B-SKILL with/O 7/B-EXP years/I-EXP in/O wound/O management/O ./O
380,Knowledgeable/O in/O Pharmacology/B-SKILL and/O Medication Administration/B-SKILL practices/O with/O over/O 5/B-EXP years/I-EXP of/O experience/O ./O
381,Competent/O in/O Geriatric Care/B-SKILL and/O Chronic Disease Management/B-SKILL with/O 6/B-EXP years/I-EXP in/O elderly/O patient/O care/O ./O
382,Expertise/O in/O Pediatric Care/B-SKILL and/O Child Development/B-SKILL after/O 4/B-EXP years/I-EXP in/O pediatric/O clinics/O ./O
383,Proficient/O in/O Nutrition Counseling/B-SKILL and/O Dietary Management/B-SKILL with/O 3/B-EXP years/I-EXP in/O nutrition/O planning/O ./O
384,Experienced/O in/O Healthcare Management/B-SKILL and/O Healthcare Policy/B-SKILL with/O 8/B-EXP years/I-EXP in/O strategic/O planning/O ./O
385,Skilled/O in/O Surgical Assistance/B-SKILL and/O Operating Room Protocols/B-SKILL after/O 6/B-EXP years/I-EXP in/O surgical/O units/O ./O
386,Knowledgeable/O in/O Electronic Health Records/B-SKILL and/O Healthcare Data Analysis/B-SKILL with/O 5/B-EXP years/I-EXP in/O digital/O health/O systems/O ./O
387,Proficient/O in/O Telemedicine/B-SKILL platforms/O and/O Telehealth Services/B-SKILL after/O 2/B-EXP years/I-EXP in/O remote/O patient/O care/O ./O
388,Competent/O in/O Quality Improvement/B-SKILL and/O Healthcare CRM/B-SKILL with/O 3/B-EXP years/I-EXP in/O process/O enhancement/O ./O
389,Expertise/O in/O Radiology Procedures/B-SKILL and/O Diagnostic Imaging/B-SKILL techniques/O with/O 6/B-EXP years/I-EXP in/O imaging/O centers/O ./O
390,Proficient/O in/O Blood Collection/B-SKILL and/O Lab Information Systems/B-SKILL after/O 4/B-EXP years/I-EXP in/O clinical/O laboratories/O ./O
391,Experienced/O in/O Nursing Procedures/B-SKILL and/O Patient Safety/B-SKILL with/O 5/B-EXP years/I-EXP in/O healthcare/O facilities/O ./O
392,Skilled/O in/O Emergency Response/B-SKILL and/O CPR and First Aid/B-SKILL after/O 3/B-EXP years/I-EXP in/O emergency/O care/O settings/O ./O
393,Knowledgeable/O in/O Surgical Assistance/B-SKILL and/O Operating Room Protocols/B-SKILL with/O 6/B-EXP years/I-EXP in/O surgical/O environments/O ./O
394,Competent/O in/O Patient Care/B-SKILL and/O Chronic Disease Management/B-SKILL with/O 7/B-EXP years/I-EXP in/O patient/O treatment/O ./O
395,Expertise/O in/O Health Education/B-SKILL and/O Public Health Promotion/B-SKILL after/O 5/B-EXP years/I-EXP in/O community/O health/O initiatives/O ./O
396,Proficient/O in/O Mental Health Counseling/B-SKILL and/O Psychiatry/B-SKILL with/O 4/B-EXP years/I-EXP in/O mental/O health/O clinics/O ./O
397,Experienced/O in/O Rehabilitation Techniques/B-SKILL and/O Physical Therapy/B-SKILL with/O 3/B-EXP years/I-EXP in/O rehabilitation/O centers/O ./O
398,Skilled/O in/O Obstetrics and Gynecology/B-SKILL and/O Women's Health/B-SKILL after/O 2/B-EXP years/I-EXP in/O maternal/O care/O facilities/O ./O
399,Proficient/O in/O Wound Care/B-SKILL and/O Infection Control/B-SKILL with/O 6/B-EXP years/I-EXP in/O wound/O management/O ./O
400,Knowledgeable/O in/O Pharmacology/B-SKILL and/O Medication Administration/B-SKILL practices/O with/O over/O 5/B-EXP years/I-EXP of/O experience/O ./O
401,Proficient/O in/O Java/B-SKILL Development/I-SKILL with/O 5+/B-EXP years/I-EXP of/O experience/O ./O
402,Hands-on/O experience/O with/O Cloud/B-SKILL Computing/I-SKILL platforms/O such/O as/O AWS/B-SKILL and/O Google/B-SKILL Cloud/B-SKILL Platform/I-SKILL ./O
403,Extensive/O knowledge/O of/O Data/B-SKILL Structures/I-SKILL and/O Algorithms/I-SKILL for/O efficient/O software/O development/O ./O
404,Skilled/O in/O using/O Docker/B-SKILL and/O Kubernetes/B-SKILL for/O containerized/O application/O deployment/O ./O
405,Strong/O expertise/O in/O Machine/B-SKILL Learning/I-SKILL and/O Deep/B-SKILL Learning/I-SKILL techniques/O for/O predictive/O modeling/O ./O
406,Proficiency/O in/O React.js/B-SKILL for/O building/O interactive/O user/O interfaces/O on/O web/O applications/O ./O
407,Experience/O with/O Git/B-SKILL version/O control/O for/O managing/O code/O repositories/O effectively/O ./O
408,Familiar/O with/O Agile/B-SKILL Methodology/I-SKILL and/O Scrum/B-SKILL Framework/I-SKILL for/O efficient/O project/O management/O ./O
409,Knowledgeable/O in/O Network/B-SKILL Security/I-SKILL and/O Cybersecurity/I-SKILL best/O practices/O for/O safeguarding/O data/O ./O
410,Proficient/O in/O SQL/B-SKILL Database/I-SKILL Management/I-SKILL and/O NoSQL/B-SKILL Databases/I-SKILL for/O data/O storage/O solutions/O ./O
411,Experience/O in/O Full/B-SKILL Stack/I-SKILL Development/I-SKILL with/O expertise/O in/O both/O front-end/B-SKILL and/O back-end/B-SKILL technologies/O ./O
412,Knowledge/O of/O REST/B-SKILL APIs/I-SKILL and/O GraphQL/B-SKILL for/O building/O efficient/O web/O services/O ./O
413,Proficient/O in/O using/O Apache/B-SKILL Spark/I-SKILL for/O Big/B-SKILL Data/I-SKILL analytics/O and/O processing/O ./O
414,Skilled/O in/O Mobile/B-SKILL App/I-SKILL Development/I-SKILL for/O both/O iOS/B-SKILL and/O Android/B-SKILL platforms/O ./O
415,Experience/O with/O DevOps/B-SKILL Practices/I-SKILL and/O CI/CD/B-SKILL Pipelines/I-SKILL for/O continuous/O integration/O and/O deployment/O ./O
416,Knowledgeable/O in/O Blockchain/B-SKILL Development/I-SKILL and/O Smart/B-SKILL Contracts/I-SKILL for/O secure/O transaction/O processing/O ./O
417,Proficient/O in/O Data/B-SKILL Visualization/I-SKILL tools/O like/O Tableau/B-SKILL and/O Power/B-SKILL BI/I-SKILL for/O insightful/O reporting/O ./O
418,Strong/O expertise/O in/O Front-End/B-SKILL Development/I-SKILL using/O Angular/B-SKILL and/O Vue.js/B-SKILL frameworks/O ./O
419,Familiar/O with/O AWS/B-SKILL Services/I-SKILL for/O cloud/O infrastructure/O setup/O and/O management/O ./O
420,Experience/O in/O Microservices/B-SKILL Architecture/I-SKILL design/O and/O implementation/O for/O scalable/O applications/O ./O
421,Proficient/O in/O Docker/B-SKILL and/O Kubernetes/B-SKILL for/O container/O orchestration/O and/O management/O ./O
422,Experience/O with/O Python/B-SKILL Programming/I-SKILL and/O Java/B-SKILL Development/I-SKILL for/O diverse/O applications/O ./O
423,Skilled/O in/O Apache/B-SKILL Kafka/I-SKILL for/O real-time/O data/O streaming/O and/O processing/O ./O
424,Strong/O expertise/O in/O Hadoop/B-SKILL for/O distributed/O computing/O and/O big/O data/O analytics/O ./O
425,Familiar/O with/O Git/B-SKILL and/O GitHub/B-SKILL for/O collaborative/O software/O development/O and/O version/O control/O ./O
426,Proficiency/O in/O AWS/B-SKILL Cloud/I-SKILL services/O like/O S3/B-SKILL and/O EC2/B-SKILL for/O scalable/O infrastructure/O ./O
427,Experience/O in/O Mobile/B-SKILL Development/I-SKILL using/O Android/B-SKILL Studio/I-SKILL and/O Xcode/B-SKILL for/O app/O creation/O ./O
428,Knowledgeable/O in/O Cybersecurity/B-SKILL and/O Penetration/B-SKILL Testing/I-SKILL for/O robust/O security/O measures/O ./O
429,Proficient/O in/O DevOps/B-SKILL Practices/I-SKILL and/O Automation/I-SKILL tools/O like/O Jenkins/B-SKILL and/O Ansible/B-SKILL ./O
430,Skilled/O in/O React.js/B-SKILL for/O building/O dynamic/O user/O interfaces/O on/O web/O applications/O ./O
431,Experience/O with/O Kubernetes/B-SKILL for/O container/O management/O and/O orchestration/O in/O cloud/O environments/O ./O
432,Familiar/O with/O Data/B-SKILL Engineering/I-SKILL tools/O such/O as/O Apache/B-SKILL Spark/I-SKILL and/O Hadoop/B-SKILL for/O big/O data/O processing/O ./O
433,Proficiency/O in/O SQL/B-SKILL and/O NoSQL/B-SKILL databases/O for/O efficient/O data/O storage/O and/O retrieval/O ./O
434,Knowledge/O of/O REST/B-SKILL APIs/I-SKILL and/O GraphQL/B-SKILL for/O developing/O scalable/O web/O services/O ./O
435,Experience/O with/O Agile/B-SKILL Methodology/I-SKILL and/O Scrum/B-SKILL Framework/I-SKILL for/O effective/O project/O management/O ./O
436,Proficient/O in/O using/O Git/B-SKILL version/O control/O for/O managing/O code/O repositories/O efficiently/O ./O
437,Skilled/O in/O Python/B-SKILL Development/I-SKILL for/O creating/O robust/O and/O scalable/O applications/O ./O
438,Strong/O expertise/O in/O Deep/B-SKILL Learning/I-SKILL and/O Natural/B-SKILL Language/I-SKILL Processing/I-SKILL for/O AI/O applications/O ./O
439,Familiar/O with/O Cloud/B-SKILL Computing/I-SKILL platforms/O like/O Microsoft/B-SKILL Azure/I-SKILL and/O AWS/B-SKILL for/O scalable/O solutions/O ./O
440,Experience/O in/O Full/B-SKILL Stack/I-SKILL Development/I-SKILL using/O Django/B-SKILL and/O Flask/B-SKILL frameworks/O for/O web/O applications/O ./O
441,Knowledgeable/O in/O CI/CD/B-SKILL Pipelines/I-SKILL and/O DevOps/B-SKILL Practices/I-SKILL for/O automated/O deployment/O processes/O ./O
442,Proficient/O in/O Data/B-SKILL Visualization/I-SKILL tools/O such/O as/O Tableau/B-SKILL for/O insightful/O data/O representation/O ./O
443,Skilled/O in/O Apache/B-SKILL Spark/I-SKILL for/O Big/B-SKILL Data/I-SKILL processing/O and/O analytics/O ./O
444,Experience/O with/O Front-End/B-SKILL Development/I-SKILL frameworks/O like/O React.js/B-SKILL and/O Angular/B-SKILL for/O web/O design/O ./O
445,Proficiency/O in/O Cybersecurity/B-SKILL and/O Network/B-SKILL Security/I-SKILL measures/O for/O protecting/O sensitive/O information/O ./O
446,Knowledge/O of/O Docker/B-SKILL and/O Kubernetes/B-SKILL for/O containerized/O application/O deployment/O and/O management/O ./O
447,Experience/O in/O Mobile/B-SKILL App/I-SKILL Development/I-SKILL using/O React/B-SKILL Native/I-SKILL for/O cross-platform/O applications/O ./O
448,Proficient/O in/O AWS/B-SKILL Services/I-SKILL like/O EC2/B-SKILL and/O S3/B-SKILL for/O scalable/O cloud/O solutions/O ./O
449,Skilled/O in/O Apache/B-SKILL Kafka/I-SKILL for/O real-time/O data/O streaming/O and/O processing/O capabilities/O ./O
450,Strong/O expertise/O in/O Hadoop/B-SKILL and/O Apache/B-SKILL Spark/I-SKILL for/O big/O data/O analytics/O and/O processing/O ./O
451,Utilized/O Docker/B-TOOL and/O Kubernetes/I-TOOL for/O containerized/O deployment/O of/O microservices/I-SKILL ./O
452,Strong/O experience/O in/O Java/B-SKILL Development/I-SKILL with/O proficiency/O in/O Spring/O Boot/I-SKILL ./O
453,Implemented/O REST/B-SKILL APIs/I-SKILL using/O Flask/B-SKILL framework/I-SKILL for/O backend/I-SKILL services/I-SKILL ./O
454,Designed/O and/O developed/O reactive/O user/I-SKILL interfaces/I-SKILL with/O Angular/B-SKILL framework/I-SKILL ./O
455,Utilized/O Git/B-TOOL version/O control/I-TOOL for/O managing/O code/I-SKILL repositories/I-SKILL in/O collaborative/O projects/I-SKILL ./O
456,Experience/O with/O AWS/B-TOOL CloudFormation/I-TOOL for/O infrastructure/I-SKILL as/O code/I-SKILL deployments/I-SKILL ./O
457,Deployed/O data/O pipelines/I-SKILL using/O Apache/B-TOOL Airflow/I-TOOL for/O ETL/I-SKILL processes/I-SKILL ./O
458,Proficient/O in/O SQL/B-SKILL database/I-SKILL management/I-SKILL with/O experience/O in/O MySQL/B-TOOL and/O PostgreSQL/B-TOOL ./O
459,Developed/O scalable/O web/I-SKILL applications/I-SKILL with/O React.js/B-SKILL and/O Node.js/I-SKILL backend/I-SKILL ./O
460,Implemented/O CI/CD/B-SKILL pipelines/I-SKILL with/O Jenkins/B-TOOL for/O automated/O testing/I-SKILL and/O deployment/I-SKILL ./O
461,Experience/O with/O Agile/B-SKILL methodology/I-SKILL and/O Scrum/B-SKILL framework/I-SKILL in/O software/I-SKILL development/I-SKILL projects/I-SKILL ./O
462,Utilized/O Terraform/B-TOOL for/O infrastructure/I-SKILL provisioning/I-SKILL in/O cloud/I-SKILL environments/I-SKILL ./O
463,Developed/O machine/I-SKILL learning/I-SKILL models/I-SKILL with/O TensorFlow/B-SKILL for/O natural/O language/I-SKILL processing/I-SKILL tasks/I-SKILL ./O
464,Experience/O in/O cybersecurity/B-SKILL practices/I-SKILL including/O penetration/B-SKILL testing/I-SKILL and/O network/I-SKILL security/I-SKILL ./O
465,Proficient/O in/O front-end/B-SKILL development/I-SKILL using/O Vue.js/B-SKILL and/O HTML/CSS/I-SKILL for/O responsive/O UI/I-SKILL design/I-SKILL ./O
466,Collaborated/O on/O data/I-SKILL visualization/I-SKILL projects/I-SKILL using/O Tableau/B-TOOL and/O Power/B-TOOL BI/I-TOOL ./O
467,Experience/O with/O cloud/B-SKILL computing/I-SKILL platforms/I-SKILL such/O as/O Google/B-TOOL Cloud/I-TOOL and/O AWS/B-TOOL services/I-SKILL ./O
468,Developed/O microservices/I-SKILL architecture/I-SKILL with/O Docker/B-TOOL containers/I-SKILL and/O Kubernetes/B-TOOL orchestration/I-SKILL ./O
469,Utilized/O Apache/B-TOOL Spark/I-TOOL for/O big/O data/I-SKILL analytics/I-SKILL and/O processing/I-SKILL tasks/I-SKILL ./O
470,Implemented/O DevOps/B-SKILL practices/I-SKILL for/O automated/O deployment/I-SKILL and/O monitoring/I-SKILL using/O Jenkins/B-TOOL and/O Prometheus/B-TOOL ./O
471,Proficiency/O in/O Python/B-SKILL programming/I-SKILL with/O experience/O in/O data/I-SKILL engineering/I-SKILL projects/I-SKILL ./O
472,Strong/O background/O in/O mobile/I-SKILL app/I-SKILL development/I-SKILL with/O expertise/O in/O iOS/B-TOOL and/O Android/B-TOOL platforms/I-SKILL ./O
473,Experience/O in/O blockchain/B-SKILL development/I-SKILL with/O smart/O contracts/I-SKILL using/O Ethereum/B-TOOL and/O Solidity/B-TOOL ./O
474,Proficient/O in/O software/I-SKILL architecture/I-SKILL design/I-SKILL with/O knowledge/O of/O system/I-SKILL scalability/I-SKILL and/O performance/I-SKILL ./O
475,Utilized/O Kafka/B-TOOL for/O real-time/O data/I-SKILL streaming/I-SKILL and/O processing/I-SKILL in/O distributed/I-SKILL systems/I-SKILL ./O
476,Experience/O with/O MongoDB/B-TOOL and/O MySQL/B-TOOL databases/I-SKILL for/O data/I-SKILL storage/I-SKILL and/O retrieval/I-SKILL ./O
477,Developed/O responsive/O web/I-SKILL interfaces/I-SKILL with/O React.js/B-SKILL and/O GraphQL/B-SKILL for/O efficient/O data/I-SKILL fetching/I-SKILL ./O
478,Implemented/O CI/CD/B-SKILL pipelines/I-SKILL with/O GitLab/B-TOOL for/O automated/O testing/I-SKILL and/O deployment/I-SKILL processes/I-SKILL ./O
479,Experience/O in/O software/I-SKILL testing/I-SKILL and/O quality/I-SKILL assurance/I-SKILL processes/I-SKILL using/O Postman/B-TOOL and/O Selenium/B-TOOL ./O
480,Proficient/O in/O cloud/B-SKILL security/I-SKILL best/O practices/I-SKILL with/O expertise/O in/O AWS/B-TOOL IAM/I-TOOL policies/I-SKILL ./O
481,Collaborated/O on/O mobile/I-SKILL app/I-SKILL deployment/I-SKILL projects/I-SKILL using/O Firebase/B-TOOL for/O backend/I-SKILL services/I-SKILL ./O
482,Utilized/O Redshift/B-TOOL for/O large/O scale/I-SKILL data/I-SKILL warehousing/I-SKILL and/O analytics/I-SKILL in/O AWS/B-TOOL ./O
483,Developed/O full/O stack/I-SKILL web/I-SKILL applications/I-SKILL with/O Django/B-SKILL framework/I-SKILL and/O PostgreSQL/B-TOOL database/I-SKILL ./O
484,Implemented/O machine/I-SKILL learning/I-SKILL algorithms/I-SKILL with/O PyTorch/B-TOOL for/O deep/O learning/I-SKILL tasks/I-SKILL ./O
485,Experience/O in/O software/I-SKILL architecture/I-SKILL and/O design/I-SKILL patterns/I-SKILL with/O knowledge/O of/O microservices/I-SKILL and/O APIs/I-SKILL ./O
486,Proficient/O in/O data/I-SKILL visualization/I-SKILL using/O Power/B-TOOL BI/I-TOOL and/O Tableau/B-TOOL for/O business/I-SKILL intelligence/I-SKILL reporting/I-SKILL ./O
487,Deployed/O Kubernetes/B-TOOL clusters/I-SKILL for/O containerized/O applications/I-SKILL management/I-SKILL in/O cloud/I-SKILL environments/I-SKILL ./O
488,Implemented/O Agile/B-SKILL methodologies/I-SKILL for/O project/I-SKILL management/I-SKILL using/O Jira/B-TOOL and/O Confluence/B-TOOL ./O
489,Experience/O with/O blockchain/B-SKILL technology/I-SKILL and/O cryptocurrency/I-SKILL frameworks/I-SKILL such/O as/O Ethereum/B-TOOL and/O Hyperledger/B-TOOL ./O
490,Proficient/O in/O software/I-SKILL testing/I-SKILL and/O QA/I-SKILL processes/I-SKILL with/O expertise/O in/O Selenium/B-TOOL and/O JUnit/B-TOOL ./O
491,Collaborated/O on/O cloud/B-SKILL migration/I-SKILL projects/I-SKILL using/O Azure/B-TOOL services/I-SKILL for/O infrastructure/I-SKILL as/O code/I-SKILL deployments/I-SKILL ./O
492,Utilized/O Figma/B-TOOL and/O Sketch/B-TOOL for/O UI/I-SKILL and/O UX/I-SKILL design/I-SKILL in/O web/I-SKILL development/I-SKILL projects/I-SKILL ./O
493,Developed/O efficient/O REST/B-SKILL APIs/I-SKILL with/O Node.js/B-SKILL backend/I-SKILL for/O seamless/O data/I-SKILL integration/I-SKILL ./O
494,Implemented/O Apache/B-TOOL Kafka/I-TOOL for/O real-time/O data/I-SKILL streaming/I-SKILL and/O processing/I-SKILL in/O distributed/I-SKILL environments/I-SKILL ./O
495,Experience/O with/O AI/B-SKILL research/I-SKILL and/O machine/I-SKILL learning/I-SKILL algorithms/I-SKILL using/O Python/B-SKILL and/O TensorFlow/B-TOOL ./O
496,Proficient/O in/O software/I-SKILL deployment/I-SKILL and/O maintenance/I-SKILL using/O Git/B-TOOL and/O Jenkins/B-TOOL for/O CI/CD/B-SKILL pipelines/I-SKILL ./O
497,Collaborated/O on/O system/I-SKILL design/I-SKILL and/O architecture/I-SKILL projects/I-SKILL with/O experience/O in/O microservices/I-SKILL and/O cloud/I-SKILL technologies/I-SKILL ./O
498,Utilized/O NGINX/B-TOOL and/O Apache/B-TOOL HTTP/I-TOOL Server/I-TOOL for/O web/I-SKILL server/I-SKILL configuration/I-SKILL and/O load/I-SKILL balancing/I-SKILL ./O
499,Developed/O interactive/O web/I-SKILL applications/I-SKILL with/O Vue.js/B-SKILL framework/I-SKILL and/O GraphQL/B-SKILL for/O efficient/O data/I-SKILL fetching/I-SKILL ./O
500,Implemented/O BigQuery/B-TOOL for/O large/O scale/I-SKILL data/I-SKILL analytics/I-SKILL and/O reporting/I-SKILL in/O cloud/I-SKILL environments/I-SKILL ./O
501,"As/O a/O nurse/B-SKILL,/O I/O provided/O patient/B-SKILL care/I-SKILL and/O clinical/B-SKILL assessment/I-SKILL in/O the/O oncology/B-SKILL department/O ./O"
502,Utilized/O the/O Epic/B-TOOLS Systems/I-TOOLS for/O medication/B-SKILL administration/I-SKILL and/O vital/B-SKILL signs/I-SKILL monitoring/I-SKILL during/O my/O shifts/O ./O
503,"With/O 5+/B-EXP years/I-EXP of/O experience/O in/O healthcare/B-SKILL management/I-SKILL, I/O successfully/O implemented/O quality/B-SKILL improvement/I-SKILL initiatives/O ./O"
504,Performed/O wound/B-SKILL care/I-SKILL and/O assisted/O in/O surgical/B-SKILL procedures/I-SKILL as/O part/O of/O the/O surgical/B-SKILL assistance/I-SKILL team/O ./O
505,Conducted/O laboratory/B-SKILL testing/I-SKILL and/O blood/B-SKILL collection/I-SKILL using/O the/O lab/B-TOOLS information/I-TOOLS system/I-TOOLS for/O accurate/O results/O ./O
506,Collaborated/O with/O the/O radiologist/B-SKILL for/O diagnostic/B-SKILL imaging/I-SKILL procedures/I-SKILL in/O the/O radiology/B-SKILL department/O ./O
507,Ensured/O infection/B-SKILL control/I-SKILL measures/O were/O followed/O during/O IV/B-SKILL therapy/I-SKILL and/O medication/B-SKILL administration/I-SKILL in/O the/O ICU/O ./O
508,Implemented/O electronic/B-SKILL health/I-SKILL records/I-SKILL management/I-SKILL systems/I-SKILL for/O efficient/O healthcare/B-SKILL data/I-SKILL analysis/I-SKILL in/O the/O hospital/O ./O
509,Provided/O health/B-SKILL education/I-SKILL and/O nutrition/B-SKILL counseling/I-SKILL to/O patients/O in/O the/O pediatric/B-SKILL ward/O ./O
510,Demonstrated/O expertise/O in/O mental/B-SKILL health/I-SKILL counseling/I-SKILL and/O psychiatric/B-SKILL nursing/I-SKILL techniques/O with/O geriatric/B-SKILL patients/O ./O
511,Assisted/O in/O rehabilitation/B-SKILL techniques/I-SKILL and/O physical/B-SKILL therapy/I-SKILL sessions/O for/O orthopedic/B-SKILL patients/O under/O the/O guidance/O of/O the/O therapist/O ./O
512,Ensured/O compliance/O with/O HIPAA/B-SKILL regulations/I-SKILL and/O healthcare/B-SKILL policy/I-SKILL in/O all/O interactions/O with/O patients/O and/O staff/O ./O
513,Managed/O surgical/B-SKILL assistance/I-SKILL protocols/O and/O operating/B-SKILL room/I-SKILL procedures/I-SKILL during/O complex/B-SKILL surgeries/I-SKILL ./O
514,Implemented/O telemedicine/B-SKILL platforms/I-SKILL for/O remote/O consultations/O and/O follow-up/O appointments/O with/O patients/O in/O rural/B-SKILL areas/O ./O
515,Analyzed/O healthcare/B-SKILL data/I-SKILL using/O biostatistics/B-SKILL tools/I-SKILL to/O identify/O epidemiological/B-SKILL trends/I-SKILL and/O patterns/O ./O
516,Managed/O chronic/B-SKILL disease/I-SKILL cases/I-SKILL and/O diabetes/B-SKILL care/I-SKILL plans/O for/O patients/O in/O the/O endocrinology/B-SKILL department/O ./O
517,Collaborated/O with/O the/O oncologist/B-SKILL to/O provide/O oncology/B-SKILL nursing/I-SKILL care/I-SKILL and/O chemotherapy/B-SKILL treatments/I-SKILL for/O cancer/B-SKILL patients/O ./O
518,Implemented/O public/B-SKILL health/I-SKILL promotion/I-SKILL programs/I-SKILL for/O community/O outreach/O and/O education/O on/O chronic/B-SKILL disease/I-SKILL management/I-SKILL ./O
519,Managed/O a/O team/O of/O nurses/O and/O surgical/B-SKILL assistants/O to/O ensure/O patient/B-SKILL safety/I-SKILL and/O quality/B-SKILL surgical/I-SKILL assistance/I-SKILL ./O
520,Provided/O obstetrics/B-SKILL and/O gynecology/B-SKILL care/I-SKILL to/O pregnant/O women/O throughout/O their/O prenatal/O and/O postpartum/O journeys/O ./O
521,Implemented/O evidence-based/B-SKILL practice/I-SKILL guidelines/I-SKILL and/O clinical/B-SKILL research/I-SKILL findings/O in/O daily/O nursing/O procedures/O for/O improved/O patient/B-SKILL outcomes/I-SKILL ./O
522,Assisted/O patients/O with/O rehabilitation/B-SKILL exercises/I-SKILL and/O occupational/B-SKILL therapy/I-SKILL sessions/O to/O improve/O their/O mobility/O and/O independence/O ./O
523,Promoted/O patient/B-SKILL safety/I-SKILL through/O CPR/B-SKILL and/O first/B-SKILL aid/I-SKILL training/I-SKILL for/O all/O healthcare/B-SKILL staff/I-SKILL members/O ./O
524,Managed/O healthcare/B-SKILL data/I-SKILL analysis/I-SKILL projects/I-SKILL and/O electronic/B-SKILL health/I-SKILL records/I-SKILL implementation/I-SKILL for/O a/O large/O hospital/O system/O ./O
525,Implemented/O quality/B-SKILL improvement/I-SKILL initiatives/O and/O patient/B-SKILL safety/I-SKILL protocols/O in/O compliance/O with/O healthcare/B-SKILL policies/I-SKILL and/O regulations/O ./O
526,Assisted/O in/O operating/B-SKILL room/I-SKILL protocols/O and/O surgical/B-SKILL procedures/I-SKILL for/O various/O medical/B-SKILL specialties/I-SKILL and/O surgeries/O ./O
527,Collaborated/O with/O the/O pharmacist/B-SKILL to/O ensure/O proper/O medication/B-SKILL administration/I-SKILL and/O patient/B-SKILL education/I-SKILL on/O drug/B-SKILL interactions/I-SKILL ./O
528,Managed/O a/O team/O of/O healthcare/B-SKILL providers/I-SKILL for/O effective/O patient/B-SKILL care/I-SKILL and/O surgical/B-SKILL assistance/I-SKILL in/O the/O OR/O ./O
529,Utilized/O healthcare/B-SKILL data/I-SKILL analytics/I-SKILL tools/I-SKILL to/O monitor/O patient/B-SKILL vitals/I-SKILL and/O track/O clinical/B-SKILL outcomes/I-SKILL in/O real-time/O ./O
530,Assisted/O in/O surgical/B-SKILL procedures/I-SKILL and/O radiology/B-SKILL imaging/I-SKILL techniques/O to/O diagnose/O and/O treat/O various/O medical/B-SKILL conditions/I-SKILL ./O
531,Provided/O mental/B-SKILL health/I-SKILL counseling/I-SKILL and/O psychiatric/B-SKILL nursing/I-SKILL care/I-SKILL to/O patients/O in/O the/O psychiatric/B-SKILL ward/O ./O
532,Collaborated/O with/O the/O physical/B-SKILL therapist/I-SKILL for/O rehabilitation/B-SKILL exercises/I-SKILL and/O occupational/B-SKILL therapy/I-SKILL sessions/O for/O patient/O recovery/O ./O
533,Implemented/O infection/B-SKILL control/I-SKILL measures/O and/O IV/B-SKILL therapy/I-SKILL protocols/O to/O prevent/O the/O spread/O of/O infectious/B-SKILL diseases/I-SKILL in/O the/O hospital/O ./O
534,Managed/O electronic/B-SKILL health/I-SKILL records/I-SKILL and/O healthcare/B-SKILL data/I-SKILL analysis/I-SKILL projects/I-SKILL for/O improved/O patient/B-SKILL care/I-SKILL and/O outcomes/O ./O
535,Assisted/O in/O obstetrics/B-SKILL and/O gynecology/B-SKILL procedures/I-SKILL for/O pregnant/O women/O in/O the/O maternity/B-SKILL ward/O during/O labor/O and/O delivery/O ./O
536,Implemented/O health/B-SKILL education/I-SKILL programs/I-SKILL and/O chronic/B-SKILL disease/I-SKILL management/I-SKILL plans/O for/O patients/O with/O diabetes/O in/O the/O endocrinology/B-SKILL clinic/O ./O
